image,text
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10246146.jpeg,a man in an orange jacket and helmet on a metal railing
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10257405.jpeg,a man in a uniform standing on a train platform
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10307257.jpeg,a man and woman are at a market
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10352106.jpeg,a fire truck with a fireman on top
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10609091.jpeg,a man working on a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10615318.jpeg,a truck with a broken hood on the back
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10615322.jpeg,a man is working on a street with a small truck
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10664320.jpeg,a man working on a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10682438.jpeg,a man wearing a hard hat and a green shirt
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10698291.jpeg,a man in a black coat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10716309.jpeg,a man carrying a large shovel on his back
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1078879.jpeg,a man wearing a hard hat and holding a cell
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10841934.jpeg,a man sitting on a bench in a building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1087083.jpeg,a large green machine
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10871621.jpeg,a group of people in a room with a metal fence
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10871712.jpeg,two construction workers wearing protective gear and holding papers
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10895019.jpeg,a man is climbing on a scaf
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10922986.jpeg,two men working on a bunch of grapes
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10922987.jpeg,a man in a red shirt and a blue hat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10922989.jpeg,a man in a red jacket and a blue hat is working on a machine
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-10932215.jpeg,a man is working on a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11010354.jpeg,a car is parked in front of a tree
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11015459.jpeg,a group of men in orange work clothes
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11105404.jpeg,a man in a blue jacket is standing outside of a building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11114134.jpeg,a man in a yellow vest is standing next to a truck
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11117849.jpeg,a man in a hat is standing at a bus window
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11139140.jpeg,two construction workers are talking to each other
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11143304.jpeg,a man is cutting a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11143306.jpeg,a man welding a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1115358.jpeg,a group of people walking through a large airport
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11194902.jpeg,a group of men working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11213214.jpeg,a man in a red vest is walking down a hallway
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11280956.jpeg,a man on a ladder working on a building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11280958.jpeg,a man on a balcony with a cell phone
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11293609.jpeg,a group of men working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11293619.jpeg,a man is working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11293624.jpeg,two men working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11293626.jpeg,two men working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11304467.jpeg,a man standing next to a wall with bricks
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11304482.jpeg,a group of men working in a brick factory
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11304529.jpeg,two men sitting on a wall
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11310521.jpeg,a construction worker is working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11319652.jpeg,a man riding a bike
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11349965.jpeg,a man wearing a blue jacket
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11350335.jpeg,two men digging in the field
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11386188.jpeg,a fire escape ladder
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11429199.jpeg,a man wearing a hard hat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11429201.jpeg,a man in a hard hat and hard hat working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11461858.jpeg,a group of people building a brick wall
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11467876.jpeg,a man on a roof working on a roof
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11486454.jpeg,a group of people walking down a dirt road
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11565004.jpeg,a group of men working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11580363.jpeg,two men standing in a doorway
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11580364.jpeg,a group of people working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11581108.jpeg,a couple of people sitting on a chair in a cage
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11587275.jpeg,a woman carrying bricks in a brick yard
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11588305.jpeg,a man is using a circular saw to cut a piece of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11590840.jpeg,a woman is walking in a puddle in front of a brick building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11624249.jpeg,a man in a blue shirt and a mask welding
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11644973.jpeg,solar panels on the roof of a house
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11648146.jpeg,a black and white photo of a city
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11650317.jpeg,a group of people standing around a building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11678443.jpeg,a man loading a crate of watermells onto a tractor
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11679689.jpeg,a woman in a yellow vest
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11680715.jpeg,a construction site with a bull and a bull
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11682134.png,a city street with a dump truck and a man
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11712738.jpeg,a food truck with a sign that reads hamburgers and a man in a hat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11714889.jpeg,a machine that is working on some kind of things
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11731975.jpeg,a group of people working in a large office
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11739070.jpeg,a man on a scr
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11739107.jpeg,a man standing next to a white smoke bomb bomb
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11765530.jpeg,a man is working on a broken car
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11765538.jpeg,a man working on a machine in a factory
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11765539.jpeg,a group of men working in a factory
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11765540.jpeg,two girls sitting at a table with papers and pens
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11779230.jpeg,a woman is pushing a child on a cart
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11784496.jpeg,a man on a roof
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11790051.jpeg,a group of people sitting on a bench
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11794944.jpeg,a group of people standing around a pile of trash
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11794945.jpeg,a group of people standing on top of a pile of garbage
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11877840.jpeg,two men working on a large machine in a factory
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11881295.jpeg,a man is working on a large pile of bricks
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11881296.jpeg,two men carrying boxes on their heads
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11885299.jpeg,a boat is docked at a dock with a man in a life jacket
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11901258.jpeg,a man is standing on a tractor by the ocean
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11915744.jpeg,a woman working in a woodworking shop
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11930042.jpeg,a man cutting a tree with a chainsaw
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-11977314.jpeg,a man on a skateboard jumping over a wall
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12032980.jpeg,a construction site with a pile of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12034631.jpeg,a view of a building through a car window
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12040693.jpeg,two men on a window washing job
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12095723.jpeg,a man bending bricks on a sidewalk
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12103053.jpeg,a man on a scr
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12126059.jpeg,a man is cooking a large pizza in a kitchen
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12155618.jpeg,a man is sitting on the floor with a lot of bricks
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1216589.jpeg,two workers in hard hats and hard hats
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12182722.jpeg,a girl leaning against a wall with a gun
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12203611.jpeg,a chef is preparing food in a kitchen
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12203618.jpeg,two chefs are preparing food in a kitchen
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12203622.jpeg,a man in a red hat is painting a red chair
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12254989.jpeg,a kitchen with a bunch of people in the window
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12276940.jpeg,a man in a kitchen preparing food
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12307631.jpeg,a person is using a grinder to grind a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12314551.jpeg,a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12323490.jpeg,a group of people are working in a field
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12327262.jpeg,a man wearing a turba
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12344924.jpeg,a man carrying a large piece of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12357625.jpeg,a man riding a skateboard down a ramp
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12366310.jpeg,a man is working on a piece of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12366518.jpeg,a man is working with a grinder
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12384336.jpeg,a man in a yellow vest
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12435865.jpeg,a truck with a lot of empty bottles on it
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12523511.jpeg,a man is holding a bunch of boxes
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12526764.jpeg,a man using a grinder to grind a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12555018.jpeg,three men in blue work clothes
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1267324.jpeg,a man in a yellow vest driving a fork truck
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1267327.jpeg,a man is standing in a large garage
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1267329.jpeg,a man in a yellow vest is driving a fork truck
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1267337.jpeg,a fork truck driver driving through a warehouse
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-1267338.jpeg,a man driving a fork truck in a warehouse
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12956301.jpeg,a large yellow boat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12956302.jpeg,two people in life jackets and life vests on a boat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12983497.jpeg,a woman working on a machine in a factory
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12983498.jpeg,a woman working on a laptop
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12983500.jpeg,a metal object on a table in a room
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12992734.jpeg,a man is working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-12998380.jpeg,a large yellow building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13003504.jpeg,a group of women carrying baskets of tea leaves
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13008566.jpeg,a man is standing on a dock with a frc
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13030034.jpeg,a clock tower with a flag on top of it
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13058187.jpeg,a group of people are cooking in a kitchen
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13058796.jpeg,a large factory building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13061689.jpeg,a crane is suspended by a crane lift
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13083789.jpeg,a body of water
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13098743.jpeg,a person on a bike on a sidewalk
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13105426.jpeg,two men walking down a ramp
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13119510.jpeg,a man standing in a pile of brown cow
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13121712.jpeg,a man is working on a machine in a factory
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13121713.jpeg,a man working on a machine in a workshop
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13159717.jpeg,a man holding a microphone in his hand
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13159718.jpeg,a man in a blue shirt
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13201048.jpeg,a man sitting on a wooden chair in front of a building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13201084.jpeg,a man sitting on a bench in front of a building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13249411.jpeg,a boat with a man on the deck
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13281428.jpeg,a man sitting in a pile of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13296054.jpeg,a man is welding a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13296066.jpeg,a man using a grinder to grind a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13319075.jpeg,a group of people working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13341859.jpeg,a truck parked in front of a statue
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13342812.png,a woman standing in front of a building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13376117.jpeg,a large building under construction
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13408861.jpeg,a woman walking down a cobb road in a small town
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13429178.jpeg,a large group of toilets in a yard
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13443776.jpeg,a woman sitting on a step with a bike
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13445850.jpeg,a building under construction
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13517443.jpeg,a man standing in front of a pile of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13532460.jpeg,a man on a platform working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13532463.jpeg,a man in a yellow vest is working on a metal rail
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13532504.jpeg,a black and white photo of a truck in a warehouse
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13565643.jpeg,a man sitting on the ground
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13569603.jpeg,three construction workers working on a building
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13668359.jpeg,a group of people sitting at a table
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13673728.jpeg,a man sitting on a bench in a city
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13682993.jpeg,a baseball player is standing on the field
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13734873.jpeg,a train track with a train on it
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13736134.jpeg,a person holding a sign that says it is a menu
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13748645.jpeg,a woman in a coat is making a piece of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13748649.jpeg,a young boy is playing with a large metal object
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13757247.jpeg,a pile of boats
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13757390.jpeg,a woman sitting on a table with baskets
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13757398.jpeg,a woman sitting on a floor with a bunch of baskets
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13757402.jpeg,a woman sitting on a table with a bunch of hats
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13757429.jpeg,a woman is standing on a convey in a factory
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13757442.jpeg,a woman is working on a piece of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13757443.jpeg,a man is working on a skateboard
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13760485.jpeg,a person standing in a field of green trees
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13778026.jpeg,two men working in a field of wheat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13794443.jpeg,a man sitting on a bench in a courtyard surrounded by cactuses
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13795569.jpeg,a blue fence
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13805227.jpeg,a man on a bike
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13805231.jpeg,a group of men sitting in a small room
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13805475.jpeg,a man standing behind a table with a bunch of fruit
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13820151.jpeg,a group of people standing in front of a power line
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13837406.jpeg,a man wearing a hat
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13846136.jpeg,a man is sitting on the floor with bricks
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13881178.jpeg,a man is preparing food in a kitchen
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13881188.jpeg,two men standing next to each other men
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13890649.jpeg,a man is working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13914845.jpeg,a group of people standing on a street at night
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13925900.jpeg,a man sitting in the back of a truck
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13928896.jpeg,two men sitting on a bench in the middle of a village
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13930482.jpeg,a man in a construction area working on a piece of wood
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13937297.jpeg,a black and white photo of a street scene
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13944023.jpeg,two men are working on a piece of metal
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13963338.jpeg,a group of people standing on a bridge
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-13978240.jpeg,a man is making a brick wall
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14000675.jpeg,a man carrying a surfboard
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14008091.jpeg,two men working on a machine in a factory
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14012616.jpeg,a group of people working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14012633.jpeg,a group of people working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14012677.jpeg,a group of people standing on a beach next to a body of water
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14012678.jpeg,a group of people working on a beach
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14012679.jpeg,a group of people sitting on a beach
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14012695.jpeg,a group of people standing on a beach
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14013154.jpeg,a beach with a lot of people on it
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14013156.jpeg,a group of people standing on a beach next to a body of water
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14013157.jpeg,a group of people working on a beach
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14013167.jpeg,a group of people working on a beach
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14013188.jpeg,a group of people working on a construction site
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14022165.jpeg,a bridge over a river with a sky in the background
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14022550.jpeg,a woman and a man are sitting at a table with flowers
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14025931.jpeg,a group of people working in a field
/home/debjit/spacy/image_search_from_folder/images/archive/images/backup/pexels-photo-14036795.jpeg,a group of people walking down a street
